districtPlanId,state
TnSW0,Tn
TnSW1,Tn
TnSW2,Tn
TnSW3,Tn
TnSW4,Tn
TnSW5,Tn
TnSW6,Tn
TnSW7,Tn
TnSW8,Tn
TnSW9,Tn
